stem,subject,paul_vs_gbarimah,paul_vs_erik,gbarimah_vs_erik,paul_vs_majority,gbarimah_vs_majority,erik_vs_majority
TAM006_V5_UA_N,TAM006,0.5500419011133725,0.6352281417282691,0.8061078912171199,0.6915498820591092,0.8548127836611196,0.9365378885688748
TAM006_V17_UA_N,TAM006,0.7119110748521313,0.7104420243433697,0.8494061757719715,0.7714301011939819,0.9177241584748287,0.9273813266268469
TAM0009_V2_UA_N,TAM0009,0.6733453769091805,0.7021750299708854,0.8907128257537047,0.7405734928877851,0.9265472907876815,0.9583863097488059
TAM009_V4_UA_N,TAM009,0.5241364665911665,0.7519676884838442,0.7071249771048294,0.7741362187026293,0.7198944040273813,0.9801548681927813
TAM028_V13_UA_N,TAM028,0.7890300368039891,0.8572829551336184,0.8769237692376923,0.8849844501741049,0.899506129288297,0.977171464330413
TAM030_V10_UA_N,TAM030,0.9197130334712666,0.9348584428715875,0.9367713552486863,0.9589429924266211,0.9600514994352066,0.9763692662563151
TAM030_V11_UA_N,TAM030,0.9259305898352894,0.932777433272202,0.8918432725480532,0.9853668274829479,0.9405933829785913,0.9480331141762751
TAM030_V12_UA_N,TAM030,0.24874878809317927,0.5681369321922317,0.47916437118490934,0.6078048468162756,0.4909626652517019,0.9522433160349472
TAM030_V13_UA_N,TAM030,0.24253066289954187,0.7888415005657585,0.34331868925091164,0.7952380952380952,0.3458302784784959,0.9955969395120543
TAM031_V1_UA_N,TAM031,0.43337450667309374,0.44610846380757885,0.4809464689987585,0.7501368862931191,0.6309942213271202,0.814404432132964
TAM031_V2_UA_N,TAM031,0.15594049638953558,0.6739922059669073,0.282923629207136,0.7155902152902753,0.2897449609972892,0.9564447223090549
TAM031_V4_UA_N,TAM031,0.16805140736718255,0.0,0.3083721733126187,0.46839210937894155,0.43386818385220227,0.793743890518084
TAM033_V10_UA_N,TAM033,0.7132611637347768,0.8435745227017487,0.6442652857058789,0.9664606707865843,0.7540939776752891,0.8746822033898305
TAM033_V11_UA_N,TAM033,0.0,0.845200776235259,0.0,0.9344005280963776,0.0,0.8985162262953265
TAM033_V13_UA_N,TAM033,0.7564356435643564,0.7502241056148643,0.8075855062648154,0.855257592420269,0.8961229479566888,0.8993757431629013
TAM033_V15_UA_N,TAM033,0.7898099882293593,0.7665882834066047,0.7160661297159814,0.9293943870014771,0.8534801544909195,0.844272076372315
TAM034_V4_UA_N,TAM034,0.7205001472946876,0.8248251227861289,0.8238873880278687,0.8632362635232076,0.8529256411761253,0.9611551491629116
TAM034_V5_UA_N,TAM034,0.640815714499925,0.8298223549756327,0.7888618690040352,0.8356341167729068,0.7929583466496218,0.9957162613417884
TAM034_V9_LA_N,TAM034,0.0,0.36935520107840936,0.0,0.4905998209489705,0.0,0.5991253644314869
TAM034_V11_UA_N,TAM034,0.9549406416876296,0.9406260910043058,0.9423307335820053,0.9769520756676223,0.977594417257346,0.9645964457608294
TAM034_V14_UA_N,TAM034,0.8286743268736065,0.8855640322939041,0.8737602853299127,0.922765933101949,0.9047466324567031,0.9633100217039309
TAM034_V15_UA_N,TAM034,0.8315668862790031,0.9069366877185657,0.8918764049896416,0.9241789144160875,0.9061899441340782,0.982805517777346
TAM034_V17_UA_N,TAM034,0.628761939088124,0.6029528676888132,0.7649516441005803,0.7529944966008417,0.8632255172928961,0.8912024517757346
TAM038_V1_UA_N,TAM038,0.2662786467806475,0.7387729285262492,0.45963451306962755,0.74749825459623,0.4632601515445891,0.9889583899918412
TAM038_V2_UA_N,TAM038,0.30085533655634067,0.21896058340256624,0.8768211920529801,0.3100804906094289,0.9742723910596559,0.8992409109069117
TAM038_V3_UA_N,TAM038,0.8266438356164384,0.6400917431192661,0.6980121703853955,0.8983252698176405,0.9216016150740243,0.7708781362007169
TAM038_V5_UA_N,TAM038,0.871778060074581,0.9041923306179217,0.8223464554701452,0.9800546221964744,0.893089381639,0.9244151874926531
TAM038_V11_UA_N,TAM038,0.29456320484766874,0.49561030869442085,0.687904687904688,0.49561030869442085,0.687904687904688,1.0
TAM038_V12_UA_N,TAM038,0.790930916976456,0.8738059101865905,0.8766231430524082,0.8949305525128161,0.8936645170434413,0.9827016129032258
TAM047_V12_UA_N,TAM047,0.9029574051907862,0.9361786939623877,0.8824130100135648,0.9761738693747734,0.9263280341217526,0.9596604206945676
TAM047_V15_UA_N,TAM047,0.2899713698132989,0.7397006634778583,0.43879324539417114,0.7497263201793254,0.4408904575451755,0.9892756970796899
TAM047_V16_UA_N,TAM047,0.783801652892562,0.9237730595196658,0.85664,0.9259839777081157,0.8586295228946526,0.9978121844496802
TAM047_V19_UA_N,TAM047,0.800732516882225,0.9034112207922029,0.8176656151419558,0.9488188976377953,0.851977648734524,0.9543667341832479
