model,ita_group_index_5,skin_tone_category,n_images,median_dice,iqr_dice,ci95_lo,ci95_hi,mean_recall,miss_rate
segformer_b2_teacher,0,Light (II-III),39,0.7646453702022541,0.24477044199307119,0.6814189464530657,0.8448333633849897,0.6945169827718128,0.0
segformer_b2_teacher,1,Intermediate (III-IV),38,0.8690123777452619,0.09678085457317942,0.8312018439640354,0.8968093876328533,0.786068659234521,0.0
segformer_b2_teacher,2,Tan (IV),24,0.7570622512381091,0.32247355342926864,0.6139756506292076,0.8881199972600752,0.6607896573872659,0.0
segformer_b2_teacher,3,Brown (V),29,0.7956791476156037,0.09874979376148296,0.7648812613088123,0.8478857713469315,0.726700382036438,0.0
segformer_b2_teacher,4,Dark (VI),55,0.7908372739986739,0.13247776040922865,0.7689430633198343,0.8269589626498043,0.6928754878845094,0.0
segformer_b0_direct,0,Light (II-III),39,0.8270876092293463,0.16949079733895744,0.7392419185934415,0.8698023008791451,0.706462636162023,0.0
segformer_b0_direct,1,Intermediate (III-IV),38,0.8227522932936577,0.13711802570307596,0.779789531401228,0.8554676529447983,0.7610776164257689,0.0
segformer_b0_direct,2,Tan (IV),24,0.7933652892769478,0.2855419412053677,0.6252123201592502,0.8641671707266183,0.6853962831273906,0.0
segformer_b0_direct,3,Brown (V),29,0.8119157355372421,0.13975594199036545,0.7628946889473962,0.86251279379474,0.7518461333247459,0.0
segformer_b0_direct,4,Dark (VI),55,0.7754836150319363,0.16495709854110197,0.7385013074224331,0.8289932205735004,0.7178198696967749,0.0
segformer_b0_distilled,0,Light (II-III),39,0.8197774889300152,0.186051257197405,0.7470879710568195,0.8647233774294975,0.7038389732896067,0.0
segformer_b0_distilled,1,Intermediate (III-IV),38,0.8301463719627031,0.12047819971937168,0.7971383519186583,0.8529967415618188,0.7613438615894169,0.0
segformer_b0_distilled,2,Tan (IV),24,0.8039716524203018,0.3203035829192078,0.6055551731631957,0.8596121797451676,0.6730348516482006,0.0
segformer_b0_distilled,3,Brown (V),29,0.8139646316507482,0.13309190422826733,0.7612874325366862,0.8509915021599891,0.7588723228208908,0.0
segformer_b0_distilled,4,Dark (VI),55,0.7805002295832448,0.1946636564274462,0.7398485017906848,0.8392624682969716,0.7121780497424018,0.0
yolo_sem_direct (native_argmax),0,Light (II-III),39,0.6950877008632425,0.6030140047856205,0.4134273976430145,0.7952759665740721,0.525983199816399,0.15384615384615385
yolo_sem_direct (native_argmax),1,Intermediate (III-IV),38,0.7986924532681945,0.14022870562372358,0.7686905862759703,0.8425239412092509,0.7369411016473696,0.02631578947368421
yolo_sem_direct (native_argmax),2,Tan (IV),24,0.7323300225826523,0.31123960745012,0.6070618140637456,0.8571149635965826,0.6949929492575398,0.0
yolo_sem_direct (native_argmax),3,Brown (V),29,0.7647704727161929,0.1412347215601898,0.7496664307481041,0.846406692168431,0.7712143576335072,0.0
yolo_sem_direct (native_argmax),4,Dark (VI),55,0.7904358308870716,0.19801770389888063,0.7424460793069055,0.8230457460337015,0.7285679002284351,0.01818181818181818
yolo_sem_direct (custom255),0,Light (II-III),39,0.7089178799171877,0.3839271129732116,0.5679286769789895,0.7753346565201295,0.5754138521170596,0.05128205128205128
yolo_sem_direct (custom255),1,Intermediate (III-IV),38,0.8015072332465483,0.13629639327735554,0.7513459531106568,0.8279092714671448,0.7844176554485973,0.0
yolo_sem_direct (custom255),2,Tan (IV),24,0.7264689300326943,0.26118433580160927,0.6307504867819109,0.8131927971660673,0.7253020444866364,0.0
yolo_sem_direct (custom255),3,Brown (V),29,0.7844256752209705,0.17431313991101371,0.7138997172344065,0.8415405357133131,0.806585334011091,0.0
yolo_sem_direct (custom255),4,Dark (VI),55,0.7558068809221671,0.16720886911689015,0.7277940617840839,0.7958028315826948,0.7456671313222896,0.0
yolo_sem_distilled (native_argmax),0,Light (II-III),39,0.6871338873329492,0.4294729312368503,0.4948580714806292,0.7714767637977982,0.5281433768563125,0.05128205128205128
yolo_sem_distilled (native_argmax),1,Intermediate (III-IV),38,0.7771683214640729,0.1738456955044989,0.7249337820863965,0.8247213712765303,0.7169920317838276,0.0
yolo_sem_distilled (native_argmax),2,Tan (IV),24,0.720853376038025,0.2577345549710538,0.6469448305363832,0.8122239966587959,0.6874933965782101,0.0
yolo_sem_distilled (native_argmax),3,Brown (V),29,0.7696677158965679,0.18526228961594493,0.7087012370565007,0.8190151193873154,0.7304731886572127,0.0
yolo_sem_distilled (native_argmax),4,Dark (VI),55,0.7199968161584832,0.23707559127135647,0.6607747299845995,0.7715209508238795,0.6414175879948302,0.01818181818181818
yolo_sem_distilled (custom255),0,Light (II-III),39,0.6082558800798193,0.4260889664957746,0.46510602930522627,0.7763891468611597,0.5968739783149251,0.0
yolo_sem_distilled (custom255),1,Intermediate (III-IV),38,0.7075624650359053,0.2855690148703818,0.5969472766967504,0.7768717178752528,0.7636723855001625,0.0
yolo_sem_distilled (custom255),2,Tan (IV),24,0.7145043114922205,0.18348734458449745,0.5986682194234711,0.7327012735766938,0.718501346645235,0.0
yolo_sem_distilled (custom255),3,Brown (V),29,0.716691953198814,0.2664162075739046,0.6318797598406863,0.7763943068938114,0.744333217667748,0.0
yolo_sem_distilled (custom255),4,Dark (VI),55,0.6404059113583594,0.2599893871999498,0.5486041646384692,0.7111288548340461,0.6428017913741875,0.0
